[ 06:04:39 | command ] git rev-parse --show-toplevel
[ 06:04:39 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:04:39 | info ] File "/home/mel/_/__projects/java/test_project/webpack.config.js" is not a decendant of a git repository
[ 06:08:25 | command ] git rev-parse --show-toplevel
[ 06:08:25 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:08:25 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/client.js" is not a decendant of a git repository
[ 06:08:25 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/client.js" is not a decendant of a git repository
[ 06:08:26 | command ] git rev-parse --show-toplevel
[ 06:08:26 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:08:26 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/app.js" is not a decendant of a git repository
[ 06:08:26 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/app.js" is not a decendant of a git repository
[ 06:08:27 | command ] git rev-parse --show-toplevel
[ 06:08:28 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:08:28 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/Employee.js" is not a decendant of a git repository
[ 06:08:32 | command ] git rev-parse --show-toplevel
[ 06:08:32 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 06:08:32 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/EmployeeWrapper.js" is not a decendant of a git repository
[ 06:08:32 | info ] File "/home/mel/_/__projects/java/test_project/src/main/js/EmployeeWrapper.js" is not a decendant of a git repository
[ 06:08:39 | info ] Clearing the file "/home/mel/_/__projects/java/test_project/webpack.config.js" from the internal cache
[ 08:56:08 | command ] git rev-parse --show-toplevel
[ 08:56:08 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 08:56:08 | info ] File "/home/mel/_/__projects/java/test_project/src/main/java/edu/northwell/payroll/HomeController.java" is not a decendant of a git repository
[ 08:56:08 | info ] File "/home/mel/_/__projects/java/test_project/src/main/java/edu/northwell/payroll/HomeController.java" is not a decendant of a git repository
[ 08:58:16 | info ] Clearing the file "/home/mel/_/__projects/java/test_project/src/main/js/client.js" from the internal cache
[ 08:58:18 | info ] Clearing the file "/home/mel/_/__projects/java/test_project/src/main/js/app.js" from the internal cache
[ 08:58:19 | info ] Clearing the file "/home/mel/_/__projects/java/test_project/src/main/js/Employee.js" from the internal cache
[ 08:58:23 | info ] Clearing the file "/home/mel/_/__projects/java/test_project/src/main/js/EmployeeWrapper.js" from the internal cache
[ 09:01:48 | command ] git rev-parse --show-toplevel
[ 09:01:48 | error ] Error: fatal: Not a git repository (or any of the parent directories): .git
[ 09:01:48 | info ] File "/home/mel/_/__projects/java/test_project/.classpath" is not a decendant of a git repository
[ 09:04:08 | info ] Clearing the file "/home/mel/_/__projects/java/test_project/src/main/java/edu/northwell/payroll/HomeController.java" from the internal cache
